HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Mexico,Paraguay,1986,1,1,2
Paraguay,Iraq,1986,1,0,1
Belgium,Mexico,1986,1,2,3
Argentina,Bulgaria,1986,2,0,2
South Korea,Italy,1986,2,3,5
South Korea,Bulgaria,1986,1,1,2
Italy,Argentina,1986,1,1,2
Argentina,South Korea,1986,3,1,4
Bulgaria,Italy,1986,1,1,2
Brazil,France,1986,1,1,2
Denmark,Spain,1986,1,5,6
England,Paraguay,1986,3,0,3
Morocco,West Germany,1986,0,1,1
Italy,France,1986,0,2,2
Argentina,Uruguay,1986,1,0,1
Brazil,Poland,1986,4,0,4
Soviet Union,Belgium,1986,3,4,7
Mexico,Bulgaria,1986,2,0,2
Brazil,Algeria,1986,1,0,1
Northern Ireland,Brazil,1986,0,3,3
Uruguay,West Germany,1986,1,1,2
Argentina,Belgium,1986,2,0,2
Argentina,West Germany,1986,3,2,5
Belgium,France,1986,2,4,6
Algeria,Spain,1986,0,3,3
France,West Germany,1986,0,2,2
Spain,Belgium,1986,1,1,2
Argentina,England,1986,2,1,3
West Germany,Mexico,1986,0,0,0
England,Poland,1986,3,0,3
Poland,Portugal,1986,1,0,1
Portugal,Morocco,1986,1,3,4
Portugal,England,1986,1,0,1
Morocco,Poland,1986,0,0,0
Scotland,Uruguay,1986,0,0,0
Denmark,West Germany,1986,2,0,2
Denmark,Uruguay,1986,6,1,7
West Germany,Scotland,1986,2,1,3
Scotland,Denmark,1986,0,1,1
England,Morocco,1986,0,0,0
Argentina,Yugoslavia,1990,0,0,0
West Germany,Argentina,1990,1,0,1
Italy,England,1990,2,1,3
Uruguay,Spain,1990,0,0,0
Czechoslovakia,West Germany,1990,0,1,1
Republic of Ireland,Italy,1990,0,1,1
England,Belgium,1990,1,0,1
West Germany,England,1990,1,1,2
Italy,Uruguay,1990,2,0,2
Republic of Ireland,Romania,1990,0,0,0
West Germany,Netherlands,1990,2,1,3
Brazil,Argentina,1990,0,1,1
Czechoslovakia,Costa Rica,1990,4,1,5
Cameroon,Colombia,1990,2,1,3
Argentina,Italy,1990,1,1,2
Spain,Yugoslavia,1990,1,2,3
Cameroon,England,1990,2,3,5
Belgium,South Korea,1990,2,0,2
England,Egypt,1990,1,0,1
Argentina,Romania,1990,1,1,2
Cameroon,Soviet Union,1990,0,4,4
Brazil,Sweden,1990,2,1,3
Costa Rica,Scotland,1990,1,0,1
Brazil,Costa Rica,1990,1,0,1
Republic of Ireland,Netherlands,1990,1,1,2
Cameroon,Romania,1990,2,1,3
Brazil,Scotland,1990,1,0,1
United Arab Emirates,Colombia,1990,0,2,2
West Germany,Yugoslavia,1990,4,1,5
Yugoslavia,Colombia,1990,1,0,1
West Germany,United Arab Emirates,1990,5,1,6
West Germany,Colombia,1990,1,1,2
Yugoslavia,United Arab Emirates,1990,4,1,5
Sweden,Costa Rica,1990,1,2,3
Argentina,Soviet Union,1990,2,0,2
Sweden,Scotland,1990,1,2,3
Argentina,Cameroon,1990,0,1,1
Soviet Union,Romania,1990,0,2,2
Republic of Ireland,Egypt,1990,0,0,0
England,Netherlands,1990,0,0,0
Netherlands,Egypt,1990,1,1,2
England,Republic of Ireland,1990,1,1,2
South Korea,Uruguay,1990,0,1,1
Belgium,Spain,1990,1,2,3
South Korea,Spain,1990,1,3,4
Belgium,Uruguay,1990,3,1,4
Italy,Austria,1990,1,0,1
United States,Czechoslovakia,1990,1,5,6
Italy,United States,1990,1,0,1
Austria,Czechoslovakia,1990,0,1,1
Italy,Czechoslovakia,1990,2,0,2
Austria,United States,1990,2,1,3
Sweden,Bulgaria,1994,4,0,4
Sweden,Brazil,1994,0,1,1
Bulgaria,Italy,1994,1,2,3
Romania,Sweden,1994,2,2,4
Bulgaria,Germany,1994,2,1,3
Netherlands,Brazil,1994,2,3,5
Italy,Spain,1994,2,1,3
Brazil,United States,1994,1,0,1
Nigeria,Italy,1994,1,2,3
Brazil,Italy,1994,0,0,0
Netherlands,Republic of Ireland,1994,2,0,2
Romania,Argentina,1994,3,2,5
Saudi Arabia,Sweden,1994,1,3,4
Spain,Switzerland,1994,3,0,3
Mexico,Bulgaria,1994,1,1,2
Germany,Belgium,1994,3,2,5
Netherlands,Saudi Arabia,1994,2,1,3
Argentina,Greece,1994,4,0,4
Nigeria,Bulgaria,1994,3,0,3
Argentina,Nigeria,1994,2,1,3
Bulgaria,Greece,1994,4,0,4
Argentina,Bulgaria,1994,0,2,2
Greece,Nigeria,1994,0,2,2
Italy,Republic of Ireland,1994,0,1,1
Germany,South Korea,1994,3,2,5
Norway,Mexico,1994,1,0,1
Mexico,Republic of Ireland,1994,2,1,3
Italy,Mexico,1994,1,1,2
Republic of Ireland,Norway,1994,0,0,0
Belgium,Morocco,1994,1,0,1
Saudi Arabia,Morocco,1994,2,1,3
Belgium,Netherlands,1994,1,0,1
Italy,Norway,1994,1,0,1
Belgium,Saudi Arabia,1994,0,1,1
Bolivia,Spain,1994,1,3,4
Germany,Spain,1994,1,1,2
United States,Switzerland,1994,1,1,2
Colombia,Romania,1994,1,3,4
Romania,Switzerland,1994,1,4,5
United States,Colombia,1994,2,1,3
Switzerland,Colombia,1994,0,2,2
United States,Romania,1994,0,1,1
Cameroon,Sweden,1994,2,2,4
Brazil,Russia,1994,2,0,2
Brazil,Cameroon,1994,3,0,3
Sweden,Russia,1994,3,1,4
Russia,Cameroon,1994,6,1,7
Brazil,Sweden,1994,1,1,2
Germany,Bolivia,1994,1,0,1
Spain,South Korea,1994,2,2,4
South Korea,Bolivia,1994,0,0,0
Morocco,Netherlands,1994,1,2,3
Brazil,Scotland,1998,2,1,3
Spain,Nigeria,1998,2,3,5
Morocco,Norway,1998,2,2,4
Paraguay,Bulgaria,1998,0,0,0
Scotland,Norway,1998,1,1,2
Brazil,Norway,1998,1,2,3
Germany,Iran,1998,2,0,2
United States,FR Yugoslavia,1998,0,1,1
United States,Iran,1998,1,2,3
Germany,FR Yugoslavia,1998,2,2,4
Germany,United States,1998,2,0,2
FR Yugoslavia,Iran,1998,1,0,1
Belgium,South Korea,1998,1,1,2
England,Tunisia,1998,2,0,2
South Africa,Saudi Arabia,1998,2,2,4
Belgium,Mexico,1998,2,2,4
Netherlands,Belgium,1998,0,0,0
South Korea,Mexico,1998,1,3,4
Spain,Bulgaria,1998,6,1,7
Nigeria,Paraguay,1998,1,3,4
Spain,Paraguay,1998,0,0,0
Nigeria,Bulgaria,1998,1,0,1
Netherlands,South Korea,1998,5,0,5
Brazil,Morocco,1998,3,0,3
Romania,Colombia,1998,1,0,1
Romania,England,1998,2,1,3
Scotland,Morocco,1998,0,3,3
Italy,Chile,1998,2,2,4
Cameroon,Austria,1998,1,1,2
Chile,Austria,1998,1,1,2
Italy,Cameroon,1998,3,0,3
Italy,Austria,1998,2,1,3
Chile,Cameroon,1998,1,1,2
Colombia,Tunisia,1998,1,0,1
Saudi Arabia,Denmark,1998,0,1,1
South Africa,Denmark,1998,1,1,2
France,Saudi Arabia,1998,4,0,4
France,Denmark,1998,2,1,3
Jamaica,Croatia,1998,1,3,4
Argentina,Japan,1998,1,0,1
Romania,Tunisia,1998,1,1,2
Colombia,England,1998,0,2,2
France,South Africa,1998,3,0,3
Netherlands,Mexico,1998,2,2,4
Argentina,Jamaica,1998,5,0,5
Japan,Jamaica,1998,1,2,3
Nigeria,Denmark,1998,1,4,5
Germany,Mexico,1998,2,1,3
Netherlands,FR Yugoslavia,1998,2,1,3
Romania,Croatia,1998,0,1,1
Argentina,England,1998,2,2,4
Italy,France,1998,0,0,0
Brazil,Denmark,1998,3,2,5
Netherlands,Argentina,1998,2,1,3
Germany,Croatia,1998,0,3,3
Brazil,Netherlands,1998,1,1,2
France,Croatia,1998,2,1,3
Netherlands,Croatia,1998,1,2,3
Brazil,France,1998,0,3,3
Japan,Croatia,1998,0,1,1
Argentina,Croatia,1998,1,0,1
France,Paraguay,1998,1,0,1
Brazil,Chile,1998,4,1,5
Italy,Norway,1998,1,0,1
South Korea,Poland,2002,2,0,2
Brazil,Turkey,2002,2,1,3
Slovenia,Paraguay,2002,1,3,4
South Africa,Spain,2002,2,3,5
South Africa,Slovenia,2002,1,0,1
Turkey,China,2002,3,0,3
Spain,Slovenia,2002,3,1,4
Paraguay,South Africa,2002,2,2,4
Senegal,Uruguay,2002,3,3,6
Denmark,France,2002,2,0,2
France,Uruguay,2002,0,0,0
Denmark,Senegal,2002,1,1,2
Germany,Paraguay,2002,1,0,1
Denmark,England,2002,0,3,3
Sweden,Senegal,2002,1,2,3
Spain,Republic of Ireland,2002,1,1,2
Mexico,United States,2002,0,2,2
Brazil,Belgium,2002,2,0,2
Japan,Turkey,2002,0,1,1
South Korea,Italy,2002,2,1,3
England,Brazil,2002,1,2,3
Germany,United States,2002,1,0,1
Spain,South Korea,2002,0,0,0
Senegal,Turkey,2002,0,1,1
Germany,South Korea,2002,1,0,1
Uruguay,Denmark,2002,1,2,3
Brazil,Turkey,2002,1,0,1
South Korea,Turkey,2002,2,3,5
Germany,Brazil,2002,0,2,2
France,Senegal,2002,0,1,1
China,Costa Rica,2002,0,2,2
Brazil,China,2002,4,0,4
Spain,Paraguay,2002,3,1,4
Costa Rica,Brazil,2002,2,5,7
United States,Portugal,2002,3,2,5
South Korea,United States,2002,1,1,2
Portugal,Poland,2002,4,0,4
Portugal,South Korea,2002,0,1,1
Poland,United States,2002,3,1,4
Republic of Ireland,Cameroon,2002,1,1,2
Germany,Saudi Arabia,2002,8,0,8
Costa Rica,Turkey,2002,1,1,2
Cameroon,Saudi Arabia,2002,1,0,1
Cameroon,Germany,2002,0,2,2
Saudi Arabia,Republic of Ireland,2002,0,3,3
Argentina,Nigeria,2002,1,0,1
England,Sweden,2002,1,1,2
Sweden,Nigeria,2002,2,1,3
Argentina,England,2002,0,1,1
Germany,Republic of Ireland,2002,1,1,2
Nigeria,England,2002,0,0,0
Sweden,Argentina,2002,1,1,2
Belgium,Russia,2002,3,2,5
Tunisia,Japan,2002,0,2,2
Japan,Russia,2002,1,0,1
Russia,Tunisia,2002,2,0,2
Japan,Belgium,2002,2,2,4
Tunisia,Belgium,2002,1,1,2
Mexico,Italy,2002,1,1,2
Mexico,Ecuador,2002,2,1,3
Italy,Croatia,2002,1,2,3
Italy,Ecuador,2002,2,0,2
Croatia,Mexico,2002,0,1,1
Ecuador,Croatia,2002,1,0,1
Italy,Ukraine,2006,3,0,3
Germany,Portugal,2006,3,1,4
Portugal,France,2006,0,1,1
Germany,Italy,2006,0,2,2
Brazil,France,2006,0,1,1
England,Portugal,2006,0,0,0
Germany,Argentina,2006,1,1,2
Argentina,Mexico,2006,2,1,3
Brazil,Ghana,2006,3,0,3
Switzerland,Ukraine,2006,0,0,0
Italy,Australia,2006,1,0,1
Portugal,Netherlands,2006,1,0,1
England,Ecuador,2006,1,0,1
Germany,Sweden,2006,2,0,2
Spain,France,2006,1,3,4
Italy,France,2006,1,1,2
Ukraine,Tunisia,2006,1,0,1
Spain,Tunisia,2006,3,1,4
Iran,Angola,2006,1,1,2
United States,Czech Republic,2006,0,3,3
Italy,Ghana,2006,2,0,2
Czech Republic,Ghana,2006,0,2,2
Italy,United States,2006,1,1,2
Czech Republic,Italy,2006,0,2,2
Australia,Japan,2006,3,1,4
Brazil,Croatia,2006,1,0,1
Japan,Croatia,2006,0,0,0
Brazil,Australia,2006,2,0,2
Japan,Brazil,2006,1,4,5
Croatia,Australia,2006,2,2,4
South Korea,Togo,2006,2,1,3
France,Switzerland,2006,0,0,0
France,South Korea,2006,1,1,2
Togo,Switzerland,2006,0,2,2
Togo,France,2006,0,2,2
Switzerland,South Korea,2006,2,0,2
Spain,Ukraine,2006,4,0,4
Portugal,Mexico,2006,2,1,3
Tunisia,Saudi Arabia,2006,2,2,4
Portugal,Iran,2006,2,0,2
Angola,Portugal,2006,0,1,1
Germany,Costa Rica,2006,4,2,6
Poland,Ecuador,2006,0,2,2
Germany,Poland,2006,1,0,1
Ecuador,Costa Rica,2006,3,0,3
Ecuador,Germany,2006,0,3,3
Costa Rica,Poland,2006,1,2,3
England,Paraguay,2006,1,0,1
Trinidad and Tobago,Sweden,2006,0,0,0
England,Trinidad and Tobago,2006,2,0,2
Sweden,Paraguay,2006,1,0,1
Sweden,England,2006,2,2,4
Paraguay,Trinidad and Tobago,2006,2,0,2
Argentina,Ivory Coast,2006,2,1,3
Serbia and Montenegro,Netherlands,2006,0,1,1
Argentina,Serbia and Montenegro,2006,6,0,6
Netherlands,Ivory Coast,2006,2,1,3
Netherlands,Argentina,2006,0,0,0
Ivory Coast,Serbia and Montenegro,2006,3,2,5
Mexico,Iran,2006,3,1,4
Mexico,Angola,2006,0,0,0
Saudi Arabia,Ukraine,2006,0,4,4
Ghana,United States,2006,2,1,3
Saudi Arabia,Spain,2006,0,1,1
Australia,Serbia,2010,2,1,3
Ghana,Germany,2010,0,1,1
Ghana,Australia,2010,1,1,2
Germany,Serbia,2010,0,1,1
Germany,Australia,2010,4,0,4
Serbia,Ghana,2010,0,1,1
United States,Algeria,2010,1,0,1
Slovenia,England,2010,0,1,1
England,Algeria,2010,0,0,0
Netherlands,Denmark,2010,2,0,2
South Africa,Uruguay,2010,0,3,3
England,United States,2010,1,1,2
Greece,Argentina,2010,0,2,2
Nigeria,South Korea,2010,2,2,4
Greece,Nigeria,2010,2,1,3
Argentina,South Korea,2010,4,1,5
Argentina,Nigeria,2010,1,0,1
South Korea,Greece,2010,2,0,2
France,South Africa,2010,1,2,3
Mexico,Uruguay,2010,0,1,1
Algeria,Slovenia,2010,0,1,1
Slovenia,United States,2010,2,2,4
