home,score,away,year
France ,1–0 (a.e.t.), Paraguay,1998
Nigeria ,1–4, Denmark,1998
Germany ,2–1, Mexico,1998
Netherlands ,2–1, FR Yugoslavia,1998
Romania ,0–1, Croatia,1998
Argentina ,2–2 (a.e.t.), England,1998
Italy ,0–0 (a.e.t.), France,1998
Brazil ,3–2, Denmark,1998
Netherlands ,2–1, Argentina,1998
Germany ,0–3, Croatia,1998
Brazil ,1–1 (a.e.t.), Netherlands,1998
France ,2–1, Croatia,1998
Netherlands ,1–2, Croatia,1998
Brazil ,0–3, France,1998
Germany ,1–0, Paraguay,2002
Denmark ,0–3, England,2002
Sweden ,1–2 (a.e.t.), Senegal,2002
Spain ,1–1 (a.e.t.), Republic of Ireland,2002
Mexico ,0–2, United States,2002
Brazil ,2–0, Belgium,2002
Japan ,0–1, Turkey,2002
South Korea ,2–1 (a.e.t.), Italy,2002
England ,1–2, Brazil,2002
Germany ,1–0, United States,2002
Spain ,0–0 (a.e.t.), South Korea,2002
Senegal ,0–1 (a.e.t.), Turkey,2002
Germany ,1–0, South Korea,2002
Brazil ,1–0, Turkey,2002
South Korea ,2–3, Turkey,2002
Germany ,0–2, Brazil,2002
Germany ,2–0, Sweden,2006
Argentina ,2–1 (a.e.t.), Mexico,2006
England ,1–0, Ecuador,2006
Portugal ,1–0, Netherlands,2006
Italy ,1–0, Australia,2006
Switzerland ,0–0 (a.e.t.), Ukraine,2006
Brazil ,3–0, Ghana,2006
Spain ,1–3, France,2006
Germany ,1–1 (a.e.t.), Argentina,2006
Italy ,3–0, Ukraine,2006
England ,0–0 (a.e.t.), Portugal,2006
Brazil ,0–1, France,2006
Germany ,0–2 (a.e.t.), Italy,2006
Portugal ,0–1, France,2006
Germany ,3–1, Portugal,2006
Italy ,1–1 (a.e.t.), France,2006
Uruguay ,2–1, South Korea,2010
United States ,1–2 (a.e.t.), Ghana,2010
Germany ,4–1, England,2010
Argentina ,3–1, Mexico,2010
Netherlands ,2–1, Slovakia,2010
Brazil ,3–0, Chile,2010
Paraguay ,0–0 (a.e.t.), Japan,2010
Spain ,1–0, Portugal,2010
Netherlands ,2–1, Brazil,2010
Uruguay ,1–1 (a.e.t.), Ghana,2010
Argentina ,0–4, Germany,2010
Paraguay ,0–1, Spain,2010
Uruguay ,2–3, Netherlands,2010
Germany ,0–1, Spain,2010
Uruguay ,2–3, Germany,2010
Netherlands ,0–1 (a.e.t.), Spain,2010
Brazil ,3–1, Croatia,2014
Mexico ,1–0, Cameroon,2014
Brazil ,0–0, Mexico,2014
Cameroon ,0–4, Croatia,2014
Cameroon ,1–4, Brazil,2014
Croatia ,1–3, Mexico,2014
Spain ,1–5, Netherlands,2014
Chile ,3–1, Australia,2014
Australia ,2–3, Netherlands,2014
Spain ,0–2, Chile,2014
Australia ,0–3, Spain,2014
Netherlands ,2–0, Chile,2014
Colombia ,3–0, Greece,2014
Ivory Coast ,2–1, Japan,2014
Colombia ,2–1, Ivory Coast,2014
Japan ,0–0, Greece,2014
Japan ,1–4, Colombia,2014
Greece ,2–1, Ivory Coast,2014
Uruguay ,1–3, Costa Rica,2014
England ,1–2, Italy,2014
Uruguay ,2–1, England,2014
Italy ,0–1, Costa Rica,2014
Italy ,0–1, Uruguay,2014
Costa Rica ,0–0, England,2014
Switzerland ,2–1, Ecuador,2014
France ,3–0, Honduras,2014
Switzerland ,2–5, France,2014
Honduras ,1–2, Ecuador,2014
Honduras ,0–3, Switzerland,2014
Ecuador ,0–0, France,2014
Argentina ,2–1, Bosnia and Herzegovina,2014
Iran ,0–0, Nigeria,2014
Argentina ,1–0, Iran,2014
Nigeria ,1–0, Bosnia and Herzegovina,2014
Nigeria ,2–3, Argentina,2014
Bosnia and Herzegovina ,3–1, Iran,2014
Germany ,4–0, Portugal,2014
Ghana ,1–2, United States,2014
Germany ,2–2, Ghana,2014
United States ,2–2, Portugal,2014
United States ,0–1, Germany,2014
Portugal ,2–1, Ghana,2014
Belgium ,2–1, Algeria,2014
Russia ,1–1, South Korea,2014
Belgium ,1–0, Russia,2014
South Korea ,2–4, Algeria,2014
South Korea ,0–1, Belgium,2014
Algeria ,1–1, Russia,2014
Brazil ,1–1 (a.e.t.), Chile,2014
Colombia ,2–0, Uruguay,2014
Netherlands ,2–1, Mexico,2014
Costa Rica ,1–1 (a.e.t.), Greece,2014
France ,2–0, Nigeria,2014
Germany ,2–1 (a.e.t.), Algeria,2014
Argentina ,1–0 (a.e.t.), Switzerland,2014
Belgium ,2–1 (a.e.t.), United States,2014
France ,0–1, Germany,2014
Brazil ,2–1, Colombia,2014
Argentina ,1–0, Belgium,2014
Netherlands ,0–0 (a.e.t.), Costa Rica,2014
Brazil ,1–7, Germany,2014
Netherlands ,0–0 (a.e.t.), Argentina,2014
Brazil ,0–3, Netherlands,2014
Germany ,1–0 (a.e.t.), Argentina,2014
Russia ,5–0, Saudi Arabia,2018
Egypt ,0–1, Uruguay,2018
Russia ,3–1, Egypt,2018
Uruguay ,1–0, Saudi Arabia,2018
Uruguay ,3–0, Russia,2018
Saudi Arabia ,2–1, Egypt,2018
Morocco ,0–1, Iran,2018
Portugal ,3–3, Spain,2018
Portugal ,1–0, Morocco,2018
Iran ,0–1, Spain,2018
Iran ,1–1, Portugal,2018
Spain ,2–2, Morocco,2018
France ,2–1, Australia,2018
Peru ,0–1, Denmark,2018
Denmark ,1–1, Australia,2018
France ,1–0, Peru,2018
Denmark ,0–0, France,2018
Australia ,0–2, Peru,2018
Argentina ,1–1, Iceland,2018
Croatia ,2–0, Nigeria,2018
Argentina ,0–3, Croatia,2018
Nigeria ,2–0, Iceland,2018
Nigeria ,1–2, Argentina,2018
Iceland ,1–2, Croatia,2018
Costa Rica ,0–1, Serbia,2018
Brazil ,1–1, Switzerland,2018
Brazil ,2–0, Costa Rica,2018
Serbia ,1–2, Switzerland,2018
Serbia ,0–2, Brazil,2018
Switzerland ,2–2, Costa Rica,2018
Germany ,0–1, Mexico,2018
Sweden ,1–0, South Korea,2018
South Korea ,1–2, Mexico,2018
Germany ,2–1, Sweden,2018
South Korea ,2–0, Germany,2018
Mexico ,0–3, Sweden,2018
Belgium ,3–0, Panama,2018
Tunisia ,1–2, England,2018
Belgium ,5–2, Tunisia,2018
England ,6–1, Panama,2018
England ,0–1, Belgium,2018
Panama ,1–2, Tunisia,2018
Colombia ,1–2, Japan,2018
Poland ,1–2, Senegal,2018
Japan ,2–2, Senegal,2018
Poland ,0–3, Colombia,2018
Japan ,0–1, Poland,2018
Senegal ,0–1, Colombia,2018
France ,4–3, Argentina,2018
Uruguay ,2–1, Portugal,2018
Spain ,1–1 (a.e.t.), Russia,2018
Croatia ,1–1 (a.e.t.), Denmark,2018
Brazil ,2–0, Mexico,2018
Belgium ,3–2, Japan,2018
Sweden ,1–0, Switzerland,2018
Colombia ,1–1 (a.e.t.), England,2018
Uruguay ,0–2, France,2018
Brazil ,1–2, Belgium,2018
Sweden ,0–2, England,2018
Russia ,2–2 (a.e.t.), Croatia,2018
France ,1–0, Belgium,2018
Croatia ,2–1 (a.e.t.), England,2018
Belgium ,2–0, England,2018
France ,4–2, Croatia,2018
